Column1,Column2
"bluwve is a kind rl, i was being mean in his run but he took it with getting upset. his map reading might need a little work but he is a very good human.",Glad you had such a positive experience. We’ll make sure the HRLs commend him on his kindness
May you please explain how i can be verified to play within the server?,just reach out to any online security for further assistance
"Hi im wanting to get back into rotmg as i havent played in a long while due to work taking up most of my time, im trying to get verified however it says i have been blacklisted by someone who is no longer part of the server? May i ask what i have been banned for, and may i request to join back?",Any time verification is denied the user associated with that is blacklisted to prevent them from attempting to circumvent the verification system. It's not the same as a ban and you can message any Security staff for help getting verified in the future.
"the ""reason"" said dms",correct
right click on them i had to find their username first dingo 💀,im assuming you didn't read the last half of the message
and how am i supposed to find someones name through discord without @ing them?,"right click on them and click message, or if you need to @ them you can do it in <#343704644712923138>"
I accidentally clicked the verification button,no worries good sir
"hello, I just participated in a raid with the RL ""Fattywww"" I have to say, he has been by far my worst experience of a RL, and I'd like to say i've participated in a lot of raids in this server and others. He was completely silent in the MBC boss fight, and completely uncaring. Called out pretty much nothing, result in several people dying, and lots of players forced to nexus due to his lack of callout to those who might have been much less accustomed to the dungeon. Once MBC was dead, and we made our way into the void, he blamed everyone remaining for why we had so little people. He didn't give some basic callout at the start of void, and i know this is probably a rookie thing that people know, but he didn't give a general countdown on when the entity was to be active, and several people died because of it. His tone was incredibly monotone the entire raid, and seemingly got angry at the players for why everything was going so poorly in terms of bad phases, bad key spots on MBC. etc. I do not cherich being the guy who has to say something, but this complete lack of care and utter negligence is ridiculous. Certainly not an RL I would return in the future for raids. There are so many great RL's on this server, but he simply makes the whole look bad.","Our HRL team will be notified and handle the situation appropriately, thank you for bringing this to our attention."
"Hi I am reaching out to modmail today referring to RL fattywww, started a rush LH, hit pots no biggie made it only losing 2. Once we got to boss was completely silent, sighing anytime something wasn't being done efficiently and reluctantly started RLing the boss. We lost FIFTEEN people and 2 8/8's died while our RL gave silent treatment. After we got into the void someone got instant shotgunned by void boss because, I assume, was due to the fact RL didn't say anything like every other one does about it starting or dex effusions or anything. Proceeded to get a horrible run of void that was saved by 4 back to backs of void going middle. Only reason we made it to be honest. Bad RL bad attitude, don't start a run if you dont wanna run it is my opinion as a previous RL. Cheers!","Our HRL team will be notified and handle the situation appropriately, thank you for bringing this to our attention."
"It is annoying for me because I feel as if I did everything I was supposed to and had sent appropriate sets, but I wasted 15+ minutes to never get dragged and to never get an explanation. I don't always get a lot of time to play, so stuff like that sucks. If I did something wrong, I would like to know so I could not do it again in the future. I don't know if this is normal behavior or not, but it wasn't very cool to me.","Sorry this happened, it's quite likely he was just getting a lot of DMs and took the number of people he needed for each role on a first come, first served basis *or* by the quality of their gear and for whatever reason your huntress didn't make the cut. Unfortunately due to having a limited number of RLs and slots in each run as well as thousands of raiders it can sometimes be competitive to get into runs and this may happen as a biproduct of that. We hope you have a better experience getting into our runs in the future."
"Hi, how do I go about getting unblacklisted?",You should be able to verify now
";contact I'm looking to get verified for veteran runs. I'm not quite sure if i meet the reqs on my current acct, as my old one got perma-banned. How do i look to see how many runs I did on my since banned account? the other acct IGN was Lbirchfo. any and all help is appreciated in the matter. Thank you!",Contact <@213849524890894336> for this Matter.
"Hello, how can i verify",Hey there! Head over to <#471711348095713281> and react to the message to get started on verification
"SCUFFED; different modmail, different situation: <@905853732795850803> put up an afk check for a void with modded key with 15% chance of extra spooky, he ran the run with no tricksters and verbally saying that in vc (i told him in game he can ping for one next time in rsa), raiders were peeking like fuck when told numerous of times not to, welp.. we got a spooky.. and then he died because he tried to body decoy on edge (sadge rip rl 8/8)  but then there was nobody else in the vc that could run (an eo took over, <@251699722820124673>) and he could barely do it because he runs cults and THEN another spooky showed up.. so there is an EO running a LH with 2 spookies and no tricksters. no raiders died thankfully but this was scuffed and could easily have been avoided..",This sounds like a very unfortunate circumstance. Good to see that people were willing to step up and help. We’ll talk to yanibenim about making sure he has the necessary reacts for runs in the future. Have a nice day!
"im trying to get verified with this account because i lost the other one and I have all the requests completed, i have a close to 8k base fame knight with the items that i need and i have last location set to nobody, trying for like 2 days and now im blacklisted for no reason, can you guys please check me out because i would really like to join some runs with you.",Message <@494317724160360448> to get manually verified as they are the person who denied your initial request. If they do not message back within 48 hrs feel free to DM any other online security for help with verification.
trying to verify with my account to join some runs and seems like i did the rules but still cant verify,"Hey there chief, you were denied by <@494317724160360448> `*ihwa`, you will have to reach out to them to appeal."
"Failed his recent void by not making proper callouts to kill void minions on other platforms, causing a 2 shrink, ignored raiders callouts like crusades in chat, continued to sing instead of making callouts, refused to swallow his pride by ignoring raiders again and again who were telling him the route to mbd (one of the raiders were actually at mbd)  and continued to go left, also led with low laptop battery and it died during mbc recently. Many deaths under his leadership. Pretty ignorant and childish. Why is he blaming raiders for his shortcomings as a shit leader lol 😹 😹 😹 😿😿😿😿😿👎👎👎👎","Sorry about this, we will have a chat with him and hopefully the runs improve. Thank you for the feedback."
Superblimp is underqualified idk why he is even allowed to raid this guy is retarded,Do you have an example of his behavior? Would be helpful so that it can be corrected by an HRL.
"Hello, this is not an error, but i need help. I have lost access to the discord account that verified DKPandaz, and hence now need a new account to get verified please",please dm any onlie security for help!!!!!
I would like to modmail and say that ProXtreme is a top tier RL and deserves to be running this discord. Absolute legend. Nice and friendly. That is all,hi tysm for the kind words ! this will be forwarded to the HRLs and ProXtreme :))
can i get verified bot doesnt work,You were blacklisted in the Oryx sactuary Discord meaning you will need to appeal there before you can be verified here. Your Realmeye is also not public at all.
"I'm not quite sure why I was blacklisted awhile back, but I'm trying to reverify for LH runs",Contact any online security :)
"Hey, I don't remember why I was blacklisted. It was years ago now. I just got back inte the game so I wanna ig appeal","Hey there, I've gone ahead and removed the Blacklist. You can go ahead and verify as usual now."
mod-mail,What do you need?
I just want this username to be tied to my account now,Reach out to myself <@213849524890894336> I'll Help you get this sorted out.
I made this account expressly to join this server again because of recovery issues with my old account,"Hey there, reach out to any online security to get assistance with this issue."
HI I LOST MY OLD DISCORD ACCOUNT I NEED TO GET VERIFIED. MY IGN IS TINCHOKILR,Message and online Security for assistance with getting verified.
Im playing on an alt account to start fresh with a friend.,"please message a security to add an alt to your discord, thanks!"
"sending mail, send help need manual verification por favor",Message any online security for assistance with verification.
Can someone change my name to just Fluegel. I don't play on Tokido anymore and it would be easier just to be called Fluegel now to avoid confusion,Yeah can do
i want to appeal for a join,DM any online security or officer in the server and they can help you with this.
Can you verify my friend asap he got manual locked,"If he still needs help with that, tell him to DM `bantering#2753` on discord"
Vet verification doesn't work for me + I need to update my ingame name so it matches with my name on lost halls discord,DM <@340267639295180800> for help 😄
Roarkey's mic so muffled a lot missed location,"Sorry about that, I’ll let him know."
"Oh actually from reading the dms with the bot,when I was trying to verify last I accidentally put a ""i"" at the end of my realmeye account url because I was drunk at the time lol, I'd really like to run halls on your guys' server, its honestly the best for running halls",hi just dm any security and they will help u out
<@589996847083290629> i lost the discord account that i verified on so id like to verify on this account,Send me a DM (Trevict#0420) and I’ll help you out
I GOT SUSPENDED???? I GOT LOCATION INFO FROM VIAL REACTION,"Hey there, Please make sure you are in VC at all times throughout the runs or you may be removed and suspended. "
"Very clean mbc run by BronzeOW. Probably smoothest and best MBC experience I've ever had. Also I got my first colo from it. Very happy, 11/10. Would run again",thanks we appreciate the feedback and are happy you enjoyed raiding with us. Have a good day <:frogheart:874349470316371988>
"Yo shoutouts to BronzeOW's run, decent run overall, missed a couple calls but his mic is clear and he's communicating well to the group, once he gets the calls down hes gonna be a decent RL",thanks we appreciate the feedback and are happy you enjoyed raiding with us. Have a good day <:frogheart:874349470316371988>
Delerium is a top tier leader with great calls big energy and lots of fun love him,And SweZSama is our top tier raider! 🙌 
"I had a run with trujanwar, void run btw, he asked everyone to cross on the first split and the left side got filled with big boys. Some ppl died and some nexused",Sorry to hear that. We’ll let an HRL know so they can correct this behavior.
hi,"hi this is lost halls modmail, how can we help?"
"i messaged sadlyfe 48h ago but nothing yet, the last time i message him was about a year ago and he said i should play for 2 weeks and get back to him, but i forgot. im assuming its because i took a break and came back and he wanted me to play a bit",You're welcome to message any online security that is not Sadlyfe for assistance.
"i got distracted when i got the last message from the bot, and now it says i am in manual review, and thats seems to be wrong","everything should be fine, have a nice day!"
ive tried? thats why i wanted to do it manually,Do you just want your discord account changed?
bot wont let me send ss,Please follow the steps in <#343711922417434634>
"Went perfectly, no deaths, called everything on time, kept everyone safe. Did very well 👍","Hey there, glad to hear the run was smooth and you enjoyed it. Ill be sure to pass this onto the HRL Team."
Player named Kapy kicked me from a dungeon for no reason. Security didnt tell him to. RL called him out in run too.,"Hey there, thanks for bringing this to our attention we will look into it and handle it accordingly."
i was pinging him to trade -_-,ye ur supposed to do that in dms
"Hi I am trying to register my account to the server but NOTHING IS WORKING, I have followed the guide to the letter and nothing works",You'll need to unprivate your graveyard
I need to verify a new discord account for my rotmg account. I lost access to my old discord,"Hey Mate, Contact <@213849524890894336> for assistance."
"I have made everything except my last known location public what else can I do? Apparently, the bot cannot find my realmeye page.",Your verification has timed out feel free to try it again. If you still need help reach out to any online security ❤️ !
oopsy poopsy,What oopsie occurred
"I appreciate this greatly, I'll try to join from outside of lounge vc next time. Thank you again! ❤️","No worries, good luck getting into runs in the future."
"Bot seemed to mess up?  says im in lounge but inside of the vc, this is the best ss im able to get","If you read this message https://discord.com/channels/343704644712923138/378991029186985985/868897576051699742 it will explain why this is happening, if you don’t wanna read all of it pretty much just don’t join from lounge unless you’re getting dragged into the raid vc."
"ive never wanted to modmail anyone since ive always found rls likeable or at least tolerable, but ign PomitoXx seriously shouldnt be an RL with his attitude. a trix who frequently rushes mbd and helps rls not hit pots (who is usually appricated) was threatened and scolded by PomitoXx who was acting like a complete karen and threatened to end the run...""i dont even want to lead this anymore"" XD . u guys should fr speak to him... maybe he was just having a bad day? but idk ill be sure to not join any of his runs in the future","Sorry about the negative experience you had with one of our rls, I’ll pass this onto the HRL team. Thank you for letting us know."
My rotmg account is linked to my other discord that I lost access to,DM any online security for help.
"Trojan consistently was not making accurate or timely calls in a void I was just in. Quote ""I'm not going to count 12 shotguns because I can count to 3."" Also was consistently not calling big boys until 5 seconds after knights were already dragging and stunning. Just very meme-y and seemed to be having a ton of fun at the expense of making precise calls. Kind of raised my eyebrows.",Thanks for the input Roarkey. We'll make sure to pass this along to HRLs so that they can talk to him about this.
Hello i am a bit confused may i have a little help?,"Hey, i have removed the expels that were on your account. You should be able to verify now."
may i ask why i cant join the server?,hi can u try verifying now in <#343711922417434634>
"I quit ROTMG for about a year and when I came back to discord it showed I was no longer a member of this server. I used to have the username RDXRAVE#8967, but when I came back it gave me the username RDXRAVE#7441. So when I try to re-verify it says my username is already taken.",DM `Trevict#0420` and i will help you
I was a member but quit realm for about a year and it seems I was kicked out of all the rotmg discord servers when I came back.,DM any online security for help.
"Fattywww void skips feel dangerous to me. He only calls out directions and usually stays in the middle or back of the group. He does not call crusades or give directions to mystics to stasis, and causing the run to be more risky than usual void skips. I've did with an 8/8 because I was at the front of the group running into a crusade, while he was at the back and did not call for any stasis or the fact that crusade was there. He only kept calling directions.",I will let the HRLs know
RL ZDalja whomst I sent a modmail for yesterday (that was intended to be postive). Thanks!,Good to hear that you're enjoying his runs.
Those deaths were not his fault! Solid calls but just really unfortunate happenings in those runs.,"Yeah, that happens pretty often sadly. Can I ask which RL you are referring to?"
"this is not mod mail per say but i did no know where else to put this, vi bot when trying to react yes to if you have a key or not it fails onces then lets you react. I know its nothing bit but i figured i should let some one know","Do you mean the reactions on a head count or the buttons on the afk? If its the emote reacts that is a discord issue and there is nothing we can do, If it is the buttons we can bring it up to the devs but it probably just because the command is still running and processing everything so it needs an extra second before it moves onto the next thing"
Atarashii,adds up
I can send screenshot to someone if needed,What is your Realm of the mad god ign?
have not heard back within the 48 hours,Anymore info you got for us? All I see if you joined the Discord and modmailed us.
thx uwu,aw hecks naw
pls verify,sir yes sir
warning? i left as i was asked lmao,Talk to <@213849524890894336> if you wish to appeal.
"hi, why am i blacklisted?",reach out to <@299927554192834561> | `Enigmatic#7735` to appeal
"I did send a ticket, unfortunately all they've replied so far is to contact admins on the servers theyre in xd",alright well thank you for bringing this to our attention.
oh yea and in case it makes it easier to look up the user (not sure how the bots work for pub) their IGN is creamfined,"Hey there, thanks for bringing this to our attention we will further look into the situation of the member and take the appropriate action required."
hey my previous discord account got hacked that had Ldx verified on it i want to change the verification to this account,Reach out to any online security for assistance with that.
Fattywww is a very lazy RL and also just rude.  Runs with him have been a nighmare so far but as soon as another RL takes over they are immediately better. He makes minimal callouts during boss fights after the skip is successful despite it being obvious a lot of people in the LH are new/needing help. This makes them very difficult as half the people seem to have no idea what they are doing even as someone who does know what to do.,We are very sorry to hear that. Your view on the situation is valid. This feedback has been passed on to the HRLs.
Can I register my realm account to an alt discord account? I can provide a screenshot in vault if needed,If you’d like to switch discord accounts you will have to reach out to a security and they will be able to assist you in that.
tam good rl,Vincent good raider
"Is that seriously my only option? GPU is blaming me solely for his death, there is no chance he is going to appeal it. Not only that, but according to the server's rule page I did not do anything that warranted a one week suspension, even not listening to RL when it comes to switching to tiered seal.","hio bud, this is Rulerzeus one of the Mods, I agree that this is at the very least an overreaction. Myself or one of the Officers will most likely be reaching out to you soon regarding the issue. We are apologize that this issue has occurred and will do our best to figure out what is best"
necromancer 8/8,Head over to <#471711348095713281> and follow the instructions given to verify.
"Hello, I was banned for a week for using oreo instead of tiered seal in a Shatters. The RL died the same run and likely just took his anger out on me. I was 23/25 exalts with 83k fame and did not want to risk losing my character. I don't think a week is justifiable!",You are welcome to attempt to appeal the suspension with the RL that suspended you.
yeah but like what else would u be doing in the server besides actually using it to run dungeons (raiding)? feels weird to me to have them seperate and not referring to eachother,We have text channels
still pretty confusing that u guys got 2 seperate rules pages when they dont refer to one another,I assume you're referring to `#rules` and `#raiding-rules` which are as stated rules for the server and rules for in game raiding.
"I heard that this guy has never gotten any positive modmail which is just absurd so I've decided to change that. I've only been in like 4 runs in with this dude, at least one person dies in every single one, and last run there was a quintuple massacre, but this RL is fucking awesome. Amazing energy, being in vc is a treat when he's around, and shows genuine remorse and shit when people die. S tier RL.",Ye idk if that's a good thing but ty for the feedback! I will forward this to the hrls :>
omg... my bad i guess...... only just noticed u guys have 2 sets of rules.. xD quite confusing,Ah sorry I read your modmails in chronological order lol
am i missing something?,In `#raiding-rules` it says that you will be suspended if you are crashing and even explains what crashing is. If you still wish to appeal your suspension contact <@164887742134616064> `Ruler#5546`
yo can i get help with verification,To begin your verification process you will need to make every one of yyour Realmeye settings public apart from the bottom two which must be private. When this is done you can head over to `#Get-verified` and re-react to the tick mark. If you are still having issues feel free to contact any online security :)
I dced for a run that i used tickets for. Can i get the 30 tickets reimbursed pls?,"Your points are refunded, have a good day mate. 👍"
"This raid leader constantly doesn't give calls, complains about random stuff, and honestly ruins the vibe. Also, he doesn't really give warning for loc. I had to really listen and turn him up loud to hear it. He says it extremely fast, and doesn't articulate what hes saying. Its hard for me to know when hes calling a server. He acts like its a chore to do raids, and would just say ""ugh lost halls"" or ""ugh raiders"". Just really annoying to do raids with when he makes it seem like we are a chore to him.","That sounds very annoying, sorry to hear that. Forwarded to the hrls ! ty"
threatens to kick/suspend players constantly as a joke but makes it seem serious,ye he do be a bit pepega thanks for the fb :)
LegoKingdu,Contact one of the online securities on the Oryx Sanctuary Discord :)
"dude got shafted on no mseals and no tricks, definitely not his fault there but some of his calls were late and just general communications saying ""dodge and stuff like that"".. like, we know (some of us do) but there could be a new player in here and your calls are going to either make it or break it for them.",Thanks for the fb :)
Lost my old discord account SquishyEE. Trying to link my new one Squishyee12,Contact any online security :)
"lost access to my other discord account, trying to get into my servers with this one","Hey there, Feel free to message any online security for assistance."
I’m struggling to get in any runs because of this discord’s method of joining vc. I was spam clicking join and accidentally hit leave call after I join. It’s a little frustrating and i’m not upset with the discord staff at all. Simply is there anyway that the people who work on the bot’s could add a system to the server for whoever reacts to the headcount/participation reaction will be allowed to join vc and people who don’t react can’t. It would just make it a lot more fair. I’ve been trying to join runs all seasonal to get past this 1 void challenge and it’s proving to be impossible to get in this vc. I appreciate the help and services y’all provide thank you!,Headcounts are simply to gauge how many raiders we have and if we have keys/essential classes. Feel free to read this if you're having trouble connecting to runs 
"Hey, how do i go about appealing for getting removed off the blacklist from Lost Halls, I believe the reason i got blacklisted for not being able to verify properly because I didn't understand the difference between ""last known location"" and ""last seen location"" on realmeye when i was verifying?",You will need to contact <@727238620809003178> `Tamply`. Your Realmeye settings have to all be public apart from the bottom 2 which must be private :)
"np, also he complains about lagging and rubberbanding alot so thats not helpin either","yeah doesnt sound too positive, ty for letting us know mate"
"-modmail SuperBimp RL feedback. Lead some nests and cults, had no problems with the TRL. 👍 from me",Ty I will forard this to the hrls!
"Would like to give positive feedback on Superbimp, seems like a swell guy and I miss karaoke ❤️",ty for letting us know!
"Superbimp isnt a good trl imo, poor calls, leaves during raids and makes alot of mistakes","ty for telling us, this will be passed on"
"I was blacklisted years ago by staff who is no longer around, can I get unblocked? Just started playing again","Hey there, Contact <@213849524890894336> for help."
send a mod mail,"Hey, this is modmail did you need help with anything?"
Just seeing if theres any solution for this from anyone. cheers,Since Blib what the one that denied you it’s up to him
I didn't mean to request vet verify,No worries man
For Fattywww:  W leader should promote back to vrl asap,Glad you’re enjoying his raids! I’ll pass on your message.
is the plague doctor priest set allowed in advanced runs?,We haven't made an official decision yet but just ask the RL. They may allow it if you're polite 😄
ProXtream,Thank you. We’ll let an HRL know so they can talk to him about it
tell your RLs to check bazzars before calling them,Do you know which RL did this?
thanks for your support 🙂 and sorry about that,dont apologise mate take care
i tell him that i only have that one (i thought i was equipped with the t13),"saying you have one may have lead to confusion. please also note that you were not issued any sort of punishment. in the future please try to communicate clearly, in a way that can not be misunderstood. that way, we can determine when staff are actually being malicious."
yes,"when he asked you for a swap, what did you tell him"
nop,and did he ask you for a swap?
had a t13 morning star and a t9 wand at the time (probably he got confused because i said ''i only have this one i think i was equiped with the t9 wand) but yeah sad.,sorry to hear this. did he trade you to check?
i didnt realize i didnt have 100 runs mb,no worries feller
i cant get verified 😦,Contact Trevict
elp,what would you like elp with
"i got blacklisted around 2 weeks ago, can i repeal and get verified? i play frequently and have had 150 hours in the past 2 weeks","Yes, you can reach out to any online security for assistance."
Fattywww just led a scuffed full skip. he was on mystic and i had to nexus because 2 crews were not stasised,the commander is immune to stasis
why am i muted bro,you were muted due to automod violations
Enigmatic warned me spamming the trading channel when I only put one message,The message was the same offer copy pasted 5 times
I did not understand this question,Just message any online security for further help.
I need help verifying i dont know what im doing wrong,"Dm any security, sometimes you do things right and the verification still fails. They will help you"
verify me nerd,Your realmeye does not show any proof of 100+ void completes. You can try again if the realmeye does not show the correct informstion or dm any security with proof of your 100 void completes.
my supporter role isnt giving me early loc on any void raids i use it on,"Supporter role gives you early access to the raiding VC, it does not give you early location"
hi it's been 48h and i haven't been verified yet,"You haven't started the verification process, head over to <#471711348095713281> and follow what the bot says."
Looking to switch the account to this discord,DM any online security for help.
any  update?,If you're talking about wanting to change the discord associated with your rotmg account you'll need to DM an online security to help you out with that.
Mod mail. Lost my old discord account SquishyEE. Trying to link my new one Squishyee12,DM any online security to get it swapped over.
The name of the raid leader is: 'Reactionist#3729,"Sorry about the negative experience you had with one of our RLs, I’ll let the HRL team know. Thank you for the feedback."
'Reactionist was trashtalking on ppl for their dps... prob there were some new guys... pls check his stability!,"Sorry about the negative experience you had with one of our RLs, I’ll let the HRL team know. Thank you for the feedback."
yo mods of lost halls can u unblacklist me so i can apply to other discords,"Hello, looks like you were denied from verification on 22/04/2023 by a member of security called <@213849524890894336> . The resulting consequence was an expulsion from the server, but mostly out of convention. Please reach out to him if you would like to appeal this - it might now be possible to verify."
oh i see thanks for resolving my worries have a great day :),you too bless you
im retarded but why does it say membership since 05.04 when its 04.05,"because they're using the usa dates, the americans think that the date system that only they use is the universally standard one. don't worry about it bro, it took me a second too. take care!"
but like i bought this like 15-20 mins ago and checked my subscription options of disord and noticed it says that it ends tomorrow which is not really a whole month but just a day so im a little concerned about it,hello there! the 4th of june is a month from today.
"Nacnudd's run has been insightful, gives a glimpse of map reading in halls",Thanks for letting us know. Map reading is indeed very interesting and Nacnudd is the best on that <:love:514443048533622820>
Ches is very good at making raiders focused with calls. Incredible dps because of the calls. Incredible dps.,Great to hear you enjoyed raiding with us. We will pass this on. Have a great day <:love:514443048533622820>
"Ches is a very good rl, makes all the proper calls and makes sure that even new people can keep up. He also is a lot of fun to join in raids and has a great sense of humor :)","Hey there, glad to hear you enjoyed his runs! I'll be sure to pass your kind words to the HRL Team."
"raid leader ches is amazing. a lot of great and easy runs, and very easy to focus in his runs. with his guiding we ran thru so many voids. i felt like a warrior in greece.","Hey there, glad to hear you enjoyed his runs! I'll be sure to pass your kind words to the HRL Team."
100% enjoying his runs,That’s great to hear!
ches is best rl,I agree! What about his runs do you enjoy in particular?
"sorry, i dont understand, my old discord was on my phone but dont have access to the email anymore",anyone with the security role (blue colour name)
"Hi, my old discord which i dont have access to anymore is verified can i get my new one verified pls",reach out to any online security ^^
sorry i meant kaibi. whoever rl was leading in 2nd fullskip in chain was a jerk,Sorry to hear that. I’ll make sure to let an HRL know so they can correct this behavior.
"My verification doesnt seem to be going through, it is getting stuck on my realmeye page. I did used to rl for you guys a couple years ago if that helps with anything. My account name is Squarewiz",I see - this is very likely a common Realmeye graveyard issue. Please reach out to any security and we'll sort this out 🙂
then rl didnt say anything and said no kick (rl was oryxpumper),"im very sorry that this happened to you and the person responsible will be punished, thank you for bringing this to our attention."
"Apparently old discord account got deleted so I made a new one but I cant verify because my old discord is connected to my ROTMG account, Is there any way I can get rid of the verification on my old account and use it on this one instead?",hi yea just dm any security !
"Snake is the greatest RL of ALL TIME, I cannot recommend them enough. The amount of energy we had in those 50+ sewers runs was legendary.",hiya ty for the possible feedback ! we'll let snake and the HRLs know :p
"im trying to verify but it is causing me so much trouble, I do not understand where to my the code in my ""realmeye description"".","hi, you came to the right place. basically you go to realmeye.com, login, and put the code into the light grey box on ur profile (says edit in it)"
snake is the best rl,hiya ty for the possible feedback ! we'll let snake and the HRLs know :p
"I think arl's should be able to chain certain keys such as cults, nests, ect, maybe not voids because those require additional prep but i mean cults are as easy as chaining ots","Hey, we appreciate your input. In fact arls can chain non-halls/shatts like nests and fungals. They just can’t chain the others because they need to obtain rl first for the safety of the group. Hope that helped."
"is having a t11 wand really an insta suspend, no warning? genuinely curious about this","Hey, if you'd like to appeal it you will have to dm the person that suspended you (Rulerzeus)"
i dont know why i was blacklisted? i dont ever think i was in this server,"Hey, contact any online security for help."
Hi modmail could i have help verifying,"You were denied by Trevict, reach out to him to appeal."
"not sure if you can do anything, but i dont support that kind of DM","Thank you for letting us know, wooodred. We will look into this and take the appropriate action."
"I NEVER mod mail because I feel like it's kind of pointless and also kind of cringe but I'm trying to vent because I'm genuinely pissed-- I'm 2 cults away from 5/5 exalt and this RL decides to say ""wink wink if someone were to pop an extra key I couldn't let you guys go in alone"".  The RL had popped a cult, ran a raid check and then ran it and then decided to do MDB? I rubber banded and had to nexus so I'm already pissed I couldn't do the *CULT* that was posted but then to see the other cults ran because of the ""wink wink"" and raiders bringing them for him. The RL is ;Tam and he seems like an alright guy but dude, just hard reset and post another so you're not shitbagging the rules and fucking people over.","Hey, we apologize for the experience. This will be passed onto the HRLs and they will talk to Tam for you. Thank you and have a nice day !"
how can i go out from blacklist?,"Hey, I've removed the expel on your account. You're free to verify as normal."
wasnt a discussion someone was giving something away and i accepted i tried to PM them but they weren't accepting,"Only post trade offers in <#347884995353903114> , keep any discussion, questions, or offers towards someone else's trade in DMs or another channel"
I think i need manual verification,"Hey there, have you checked out <#343711922417434634> ?"
well i was dragged to a vet channel atleast,Okay I understand. Thanks for letting me know!
sp Utahmiee is a lag brain thats two dungeoins ive missed today bc hes accidently said wrong loc the first time and i connect to the wrong one then by the time i get to the right ine it blinks ithin 4 secs,"Hey there, sorry to hear about you missing the run twice because of an RL mistake. I’ve forwarded this information to the HRL team."
of course i remember :o i saw you in keypop server the other day too 🕵️‍♂️,Imagine not saying hi..
"Had a complete mental break down during the run, started by making everyone soft reset after he brought the wrong character, which upset a lot of the raiders. Near constant rambling, proceeded to spend the next 15 minutes talking about chains or something? After the soft reset he started saying ""I am a fucking idiot"" over and over again like 20 times instead of just moving on and leading the run. During the four runs that I did he maybe only made like 7 calls, the rest of it was just gibberish. Past that point when raiders were getting visibly frustrated with him he began repeatedly saying ""I don't give a fuck if you modmail me"" and commenting that it doesn't do anything and that it won't matter. Then kept telling people ""if you don't like it nexus"", and that he wouldn't get demoted, just get a talking to. Constant arguing back and forth with us, was absolutely atrocious to listen to. I don't know, maybe he is totally fine normally, but this was hands down one of the worst raiding experiences I have had on the server, had to nexus before the chain was over because I just couldn't take listening to anymore of it.","I'm sorry you made this experience in one of our raids, this is not the standard for our runs. Thank you for informing us <:frogheart:874349470316371988> ."
i did all the steps including the code in description and after i re-react it gives me error please help me fix it,"hello ur realm eye graveyard is still hidden, that’s why there’s an error. try redoing it and refreshing the page a couple times and them go thru verification again:)) if that still doesn’t work for you, you’re free to contact any security"
Had  a blast in Superbimp's karaoke runs pretty funny guy,"Hey there, glad to hear you enjoyed his runs. I'll be sure to pass your kind words on."
so this ARL yanibenim unmuted a guy called antez in the lounge and that guy basically started screaming and earraping everyone in the lounge idk if its not allowed to do that but it was very ignorant to do such a thing,"We are very sorry to hear that. This will be investigated and the appropriate action taken - thank you for informing us of the incident. If there is anything else you would like to add, please send it across in another message."
"I was in a nest chain run by Cutepid tonight and a player by the name of ""Messi"" was harassing the RL the whole run, saying lots of gross sexual comments and also being blatantly transphobic and sexist. It made me and many others in the run uncomfortable.  I understand it is the internet and you cant control what people say but it really ruins the run when people like that are in it. Please let me know if you need any information :3","Alright thanks for letting us know, I'll look into it. Hope it doesn't happen again"
lf manual verification,You'll have to appeal your verification denial in osanc before you can verify here. Contact one of the staff there.
yo can i switch discord accounts for lh discord,yo yea ofc just dm a security and they gotchu :))
thank u for ur time mr/mrs modmail,"I will let the HRLs know so that they can look into everything, thanks for letting us know!"
Got dragged on by one of your VRL's in a hard mode shatters Watch the minimap it's pretty obvious the drag is intentional,"We'll look into this, thanks for the video!"
Budo is the best Raid Leader.,"hiya, ty for kind words :)) we'll let the HRLs know about it ! have a nice day"
Yo help me,yo what do u need help with
"Hello, i need a Name change in server my name now is snowhaze instead of FNisBetter",Make sure your name history is public on realmeye then go to <#347885015964712970>⁠ and do `;cn <new name>`
hello! i need to change my IGN from jxbisrad to just jxb as i changed name recently,Make sure your name history is public on realmeye then go to <#347885015964712970> and do `;cn <new name>`
helix=  i broght a moded key to his cult it was Ozuchi key he checkt my key and know it was that and afther the boss dies he tells next key to pop  wehn boss dies by acident i guess and he starts screaming telling the raiders to go inn to the next key  and sais Ozuchi dosent drop shit and stuff  13 stayd whit me in old cult to do Ozuchi so we got it but if shit like this keep happening ill stop buying keys for this server... make this rl wake up when he is leading or stop doing drugs or somting idk,"sorry about that, i will let the HRL team know. Thank you for the feedback."
Can I get refunded on tickets? I was in a run where the key kicked the rl and trl and security and then everyone else left :p,"We will give you your refund of points shortly, apologies for the inconvenience."
Hello I have lost 25 points due to a troller called mimi how do i get it back,"I have given you a refund of your points, sorry that this happened"
i just recovered my old account on discord and need help with verififcation,Glad to hear it! Get in touch with any security and we can work out the details.
